ID,SampleID,sampleClass,SampleType,HamsterID,Group,dpi,Group_PostInfect,Sample_or_Neg,GroupPost_dpi
BS.545,BS.545,sample,Feces,7,Challenge,-1,Pre-Challenge,Sample,Pre-Challenge
BS.546,BS.546,sample,Feces,8,Challenge,-1,Pre-Challenge,Sample,Pre-Challenge
BS.547,BS.547,sample,Feces,9,Challenge,-1,Pre-Challenge,Sample,Pre-Challenge
BS.548,BS.548,sample,Feces,10,Challenge,-1,Pre-Challenge,Sample,Pre-Challenge
BS.549,BS.549,sample,Feces,11,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.550,BS.550,sample,Feces,12,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.551,BS.551,sample,Feces,13,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.552,BS.552,sample,Feces,14,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.553,BS.553,sample,Feces,15,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.554,BS.554,sample,Feces,16,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.555,BS.555,sample,Feces,17,PR8,-1,Pre-Challenge,Sample,Pre-Challenge
BS.556,BS.556,sample,Feces,1,Mock,3,Mock,Sample,Mock_3
BS.557,BS.557,sample,Feces,2,Mock,3,Mock,Sample,Mock_3
BS.558,BS.558,sample,Feces,3,Mock,3,Mock,Sample,Mock_3
BS.559,BS.559,sample,Feces,4,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.560,BS.560,sample,Feces,5,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.561,BS.561,sample,Feces,7,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.562,BS.562,sample,Feces,8,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.563,BS.563,sample,Feces,9,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.564,BS.564,sample,Feces,10,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.565,BS.565,sample,Feces,11,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.566,BS.566,sample,Feces,12,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.567,BS.567,sample,Feces,13,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.568,BS.568,sample,Feces,14,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.569,BS.569,sample,Feces,15,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.570,BS.570,sample,Feces,16,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.571,BS.571,sample,Feces,17,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.572,BS.572,sample,Feces,1,Mock,6,Mock,Sample,Mock_6
BS.573,BS.573,sample,Feces,2,Mock,6,Mock,Sample,Mock_6
BS.574,BS.574,sample,Feces,4,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.575,BS.575,sample,Feces,5,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.576,BS.576,sample,Feces,7,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.577,BS.577,sample,Feces,11,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.578,BS.578,sample,Feces,12,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.579,BS.579,sample,Feces,13,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.580,BS.580,sample,Feces,14,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.581,BS.581,Extraction,Extraction,Negative DNA Extraction,NA,NA,NA,Neg,NA
BS.582,BS.582,PCR,PCR,Negative PCR,NA,NA,NA,Neg,NA
BS.603,BS.603,PCR,PCR,Negative PCR,NA,NA,NA,Neg,NA
BS.587,BS.587,sample,Lung,1,Mock,6,Mock,Sample,Mock_6
BS.588,BS.588,sample,Lung,2,Mock,6,Mock,Sample,Mock_6
BS.589,BS.589,sample,Lung,3,Mock,3,Mock,Sample,Mock_3
BS.590,BS.590,sample,Lung,4,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.591,BS.591,sample,Lung,5,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.592,BS.592,sample,Lung,7,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.593,BS.593,sample,Lung,8,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.594,BS.594,sample,Lung,9,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.595,BS.595,sample,Lung,10,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.596,BS.596,sample,Lung,11,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.597,BS.597,sample,Lung,12,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.598,BS.598,sample,Lung,13,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.599,BS.599,sample,Lung,14,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.600,BS.600,sample,Lung,15,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.601,BS.601,sample,Lung,16,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.602,BS.602,sample,Lung,17,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
